Call Type Group,Neighborhooods - Analysis Boundaries,Avg. Time On Scene,Number of Alarms
Fire,Bernal Heights,20.56638756,2694
Fire,Potrero Hill,10.27045236,2993
Fire,Marina,11.80825102,2782
Fire,Excelsior,13.71958585,1735
Fire,Chinatown,19.36711281,1566
Fire,Pacific Heights,8.672033898,1588
Fire,West of Twin Peaks,17.03819444,2507
Fire,North Beach,12.70959088,2616
Fire,Hayes Valley,7.80368533,1911
Fire,Castro/Upper Market,14.56831169,2896
Fire,Outer Richmond,13.07560976,4374
Fire,Nob Hill,7.704318937,2196
Fire,Western Addition,9.193095377,2495
Fire,Sunset/Parkside,13.03362256,4005
Fire,Bayview Hunters Point,15.99332018,10206
Fire,Financial District/South Beach,12.23112583,6796
Fire,Mission,15.77294686,9326
Fire,South of Market,8.123619632,4358
Fire,Tenderloin,10.08096766,6062
Alarm,Glen Park,7.685515441,3200
Alarm,Presidio,9.033396049,3237
Alarm,Twin Peaks,8.549675325,4167
Alarm,Golden Gate Park,7.865322581,1738
Alarm,Treasure Island,10.51790451,2533
Alarm,Presidio Heights,6.788525553,6852
Alarm,Japantown,6.217671809,4448
Alarm,Portola,7.507685551,3841
Alarm,Noe Valley,7.02560938,8835
Alarm,Visitacion Valley,9.046213094,5104
Alarm,Lone Mountain/USF,6.882697947,7274
Alarm,Oceanview/Merced/Ingleside,7.666522022,6666
Alarm,Inner Richmond,7.063049853,8361
Alarm,Outer Mission,7,6450
Alarm,Mission Bay,7.73123761,9531
Alarm,Inner Sunset,7.45022082,11001
Alarm,Lakeshore,8.183408178,10784
Alarm,Russian Hill,6.897062365,11558
Alarm,Haight Ashbury,6.7028252,9386
Alarm,Bernal Heights,7.80033557,8283
Alarm,Potrero Hill,7.459573381,11027
Alarm,Marina,6.968207581,15757
Alarm,Excelsior,7.238483345,8661
Alarm,Chinatown,5.820851025,14972
Alarm,Pacific Heights,6.226940705,17962
Alarm,West of Twin Peaks,7.61994495,13492
Alarm,North Beach,6.797929696,13685
Alarm,Hayes Valley,6.321950329,15253
Alarm,Castro/Upper Market,6.468403971,14724
Alarm,Outer Richmond,7.45470468,14223
Alarm,Nob Hill,6.120781955,22692
Alarm,Western Addition,6.3280763,20814
Alarm,Sunset/Parkside,7.906167674,17921
Alarm,Bayview Hunters Point,8.043532806,23724
Alarm,Financial District/South Beach,7.109802718,51471
Alarm,Mission,6.471113639,42214
Alarm,South of Market,6.411013858,43932
Alarm,Tenderloin,6.289327228,59835
